Wall time,Step,Value
1704246726.935796,1,0.032499998807907104
1704247341.001063,352,0.014999999664723873
1704247903.333219,664,0.009999999776482582
1704248522.548111,967,0.017500000074505806
1704249071.843459,1294,0.023749999701976776
1704249666.905032,1600,0.023749999701976776
1704250251.133682,1930,0.038750000298023224
1704250813.180263,2245,0.01875000074505806
1704251379.110647,2559,0.026249999180436134
1704251942.374017,2877,0.021250000223517418
1704252517.546114,3194,0.019999999552965164
1704253083.189831,3519,0.02250000089406967
1704253682.232983,3831,0.019999999552965164
1704254244.770928,4149,0.011250000447034836
1704254786.266788,4461,0.021250000223517418
1704255339.849929,4767,0.016249999403953552
1704255840.483116,5079,0.004999999888241291
1704256361.076798,5363,0.009999999776482582
1704256873.662972,5653,0.011250000447034836
1704257393.006684,5942,0.0037499999161809683
1704258018.151932,6224,0.013749999925494194
1704258636.829151,6548,0.013749999925494194
1704259435.122103,6858,0.03500000014901161
1704260003.546966,7204,0.011250000447034836
1704260513.896185,7491,0.004999999888241291
1704261082.798048,7779,0.028750000521540642
1704261587.181468,8102,0.009999999776482582
1704262113.628062,8390,0.017500000074505806
1704262645.751441,8691,0.011250000447034836
1704263199.009145,8995,0.013749999925494194
1704263758.695593,9308,0.02250000089406967
1704264292.167859,9623,0.0062500000931322575
1704264893.763204,9925,0.011250000447034836
1704265580.250085,10232,0.026249999180436134
1704266273.630422,10558,0.014999999664723873
1704266859.020997,10891,0.012500000186264515
1704267392.827784,11195,0.009999999776482582
1704267983.017848,11487,0.011250000447034836
1704268564.301392,11793,0.014999999664723873
1704269091.387646,12109,0.004999999888241291
1704269609.717527,12401,0.008750000037252903
1704270180.935712,12693,0.017500000074505806
1704270821.265239,13000,0.009999999776482582
1704271402.612299,13313,0.009999999776482582
1704271935.755816,13625,0.014999999664723873
1704272429.36641,13911,0.0062500000931322575
1704272954.327305,14189,0.021250000223517418
1704273472.644446,14486,0.01875000074505806
1704273949.500036,14780,0.008750000037252903
1704274437.08544,15051,0.017500000074505806
1704274942.178391,15329,0.008750000037252903
1704275442.927119,15617,0.0062500000931322575
1704275974.959652,15904,0.012500000186264515
1704276570.768869,16202,0.004999999888241291
1704277136.953467,16496,0.019999999552965164
1704277691.187317,16794,0.014999999664723873
1704278204.332151,17100,0.0024999999441206455
1704278751.432414,17386,0.029999999329447746
1704279314.131974,17688,0.009999999776482582
1704279908.280462,18001,0.013749999925494194
1704280460.346711,18321,0.02500000037252903
1704280963.371775,18621,0.007499999832361937
1704281501.705096,18904,0.016249999403953552
1704282085.876367,19203,0.009999999776482582
1704282714.756267,19513,0.011250000447034836
1704283278.186025,19846,0.014999999664723873
1704283820.660356,20160,0.012500000186264515
1704284315.523755,20467,0.004999999888241291
1704284842.884458,20749,0.013749999925494194
1704285350.600955,21051,0.011250000447034836
1704285920.746479,21340,0.021250000223517418
1704286458.855797,21665,0.009999999776482582
1704286968.426505,21972,0.012500000186264515
1704287552.754153,22262,0.011250000447034836
1704288139.41998,22575,0.008750000037252903
1704288706.240258,22864,0.009999999776482582
1704289264.028434,23172,0.01875000074505806
1704289801.545156,23480,0.0062500000931322575
1704290349.762096,23777,0.03375000134110451
1704290888.986028,24081,0.021250000223517418
1704291395.171817,24380,0.017500000074505806
1704291950.735045,24661,0.017500000074505806
1704292494.290681,24968,0.02250000089406967
1704292988.863952,25270,0.004999999888241291
1704293534.945339,25544,0.017500000074505806
1704294105.581607,25846,0.023749999701976776
1704294648.074042,26164,0.009999999776482582
1704295156.178396,26464,0.0
1704295676.121231,26745,0.004999999888241291
1704296207.956247,27033,0.007499999832361937
1704296747.999768,27329,0.014999999664723873
1704297276.128117,27628,0.017500000074505806
1704297792.686202,27920,0.0062500000931322575
1704298321.502504,28208,0.012500000186264515
1704298885.530313,28501,0.012500000186264515
1704299429.217869,28814,0.01875000074505806
1704299944.201278,29117,0.008750000037252903
1704300506.604452,29403,0.032499998807907104
1704301056.910518,29714,0.014999999664723873
1704301606.750075,30021,0.0062500000931322575
1704302162.976722,30327,0.008750000037252903
1704302716.045422,30629,0.0062500000931322575
1704303288.097581,30921,0.011250000447034836
1704303889.723298,31224,0.013749999925494194
1704304425.376941,31542,0.011250000447034836
1704304993.462176,31825,0.013749999925494194
1704305579.667725,32122,0.008750000037252903
1704306097.42472,32432,0.0062500000931322575
1704306681.023457,32707,0.012500000186264515
1704307275.178176,33014,0.026249999180436134
1704307845.190272,33325,0.014999999664723873
1704308452.160512,33625,0.02250000089406967
1704308998.434389,33946,0.007499999832361937
1704309595.66618,34228,0.014999999664723873
1704310161.377591,34543,0.008750000037252903
1704310761.167047,34833,0.021250000223517418
1704311330.471624,35149,0.007499999832361937
1704311880.190829,35438,0.012500000186264515
1704312417.783843,35738,0.012500000186264515
1704312934.666317,36036,0.011250000447034836
1704313477.361585,36322,0.016249999403953552
1704314011.13561,36624,0.021250000223517418
1704314579.748897,36919,0.016249999403953552
1704315110.253574,37234,0.004999999888241291
1704315671.546627,37526,0.016249999403953552
1704316198.173405,37836,0.011250000447034836
1704316701.586746,38128,0.0024999999441206455
1704317223.692378,38407,0.004999999888241291
1704317780.36508,38695,0.01875000074505806
1704318312.805352,39003,0.0037499999161809683
1704318829.432055,39297,0.011250000447034836
1704319395.93033,39585,0.026249999180436134
1704319935.959968,39898,0.011250000447034836
1704323008.70686,40001,0.004999999888241291
1704323649.478997,40295,0.019999999552965164
1704324262.948552,40624,0.011250000447034836
1704324818.993823,40933,0.007499999832361937
1704325366.1431,41221,0.0037499999161809683
1704325934.728786,41502,0.0
1704326506.119481,41788,0.007499999832361937
1704327106.06117,42090,0.0062500000931322575
1704327654.106154,42399,0.0062500000931322575
1704328232.066079,42686,0.02500000037252903
1704328870.537953,43001,0.0037499999161809683
1704329399.522023,43297,0.0012499999720603228
1704329931.324403,43576,0.011250000447034836
1704330477.27879,43866,0.012500000186264515
1704331049.783096,44165,0.012500000186264515
1704332001.022078,44476,0.008750000037252903
1704332601.803338,44820,0.004999999888241291
1704333143.578638,45116,0.0062500000931322575
1704333672.298473,45410,0.0062500000931322575
1704334178.618914,45700,0.009999999776482582
1704334725.356023,45980,0.011250000447034836
1704335268.263456,46284,0.007499999832361937
1704335842.149021,46586,0.01875000074505806
1704336376.79167,46890,0.012500000186264515
1704336889.75,47183,0.008750000037252903
1704337382.480131,47467,0.0037499999161809683
1704337933.817843,47740,0.012500000186264515
1704338505.17242,48040,0.0062500000931322575
1704339055.739226,48335,0.008750000037252903
1704339615.030455,48625,0.0024999999441206455
1704340116.981199,48916,0.0
1704340654.974536,49193,0.007499999832361937
1704341222.151629,49474,0.008750000037252903
1704341747.909649,49774,0.0012499999720603228
1704342284.683772,50062,0.0037499999161809683
1704342810.352205,50358,0.0037499999161809683
1704343314.012468,50650,0.0024999999441206455
1704343813.279038,50932,0.013749999925494194
1704344337.926841,51211,0.008750000037252903
1704344887.414349,51505,0.012500000186264515
1704345407.421678,51810,0.008750000037252903
1704345921.991712,52102,0.008750000037252903
1704346427.982073,52389,0.0037499999161809683
1704346927.58526,52671,0.007499999832361937
1704347460.750449,52950,0.009999999776482582
1704347985.244887,53243,0.0024999999441206455
1704348646.537519,53524,0.011250000447034836
1704349181.02266,53847,0.0024999999441206455
1704349730.441968,54132,0.013749999925494194
1704350292.9231,54429,0.012500000186264515
1704350985.466254,54733,0.016249999403953552
1704351582.735963,55054,0.013749999925494194
1704352108.40466,55350,0.0037499999161809683
1704352637.803318,55633,0.0037499999161809683
1704353165.447016,55923,0.011250000447034836
1704353699.053273,56214,0.016249999403953552
1704354226.70444,56509,0.009999999776482582
1704354735.479066,56801,0.0062500000931322575
1704355270.281366,57077,0.0037499999161809683
1704355807.85675,57364,0.0037499999161809683
1704356341.963056,57654,0.0062500000931322575
1704356861.883968,57948,0.008750000037252903
1704357383.027516,58234,0.0037499999161809683
1704357927.348833,58520,0.011250000447034836
1704358477.970211,58814,0.004999999888241291
1704358997.572576,59110,0.009999999776482582
1704359502.055507,59386,0.012500000186264515
1704360023.279641,59665,0.012500000186264515
1704360512.610999,59955,0.007499999832361937
1704361030.570393,60228,0.013749999925494194
1704361576.982384,60518,0.013749999925494194
1704362093.500283,60823,0.0
1704362625.492006,61111,0.014999999664723873
1704363137.665357,61407,0.008750000037252903
1704363680.341291,61692,0.0062500000931322575
1704364176.899616,61996,0.0062500000931322575
1704364695.791251,62272,0.013749999925494194
1704365220.190996,62561,0.011250000447034836
1704365746.61599,62854,0.0024999999441206455
1704366304.867218,63130,0.004999999888241291
1704366879.440267,63430,0.014999999664723873
1704367407.600173,63730,0.0012499999720603228
1704367985.202476,64008,0.007499999832361937
1704368506.330157,64313,0.012500000186264515
1704369021.921239,64602,0.0037499999161809683
1704369577.6046,64877,0.004999999888241291
1704370075.353702,65170,0.0
1704370561.741475,65445,0.004999999888241291
1704371097.578656,65714,0.02500000037252903
1704371616.361264,66013,0.008750000037252903
1704372133.673949,66304,0.011250000447034836
1704372656.890622,66593,0.021250000223517418
1704373186.733512,66885,0.011250000447034836
1704373714.573187,67184,0.008750000037252903
1704374226.783253,67477,0.007499999832361937
1704374746.230195,67759,0.009999999776482582
1704375270.735967,68047,0.0037499999161809683
1704375788.47942,68335,0.0024999999441206455
1704376302.852542,68624,0.0062500000931322575
1704376831.900443,68911,0.008750000037252903
1704377361.329199,69206,0.007499999832361937
1704377873.108734,69501,0.0024999999441206455
1704378419.497829,69787,0.013749999925494194
1704378933.334793,70093,0.011250000447034836
1704379422.287653,70380,0.0037499999161809683
1704379941.533135,70652,0.014999999664723873
1704380429.728079,70942,0.0
1704380940.020648,71215,0.0024999999441206455
1704381421.591387,71499,0.007499999832361937
1704381930.733342,71767,0.011250000447034836
1704382454.473123,72052,0.007499999832361937
1704382956.393425,72345,0.0037499999161809683
1704383441.580716,72627,0.0012499999720603228
1704383985.71448,72898,0.02500000037252903
1704384497.883659,73204,0.012500000186264515
1704384999.68532,73492,0.0037499999161809683
1704385515.910752,73773,0.012500000186264515
