Wall time,Step,Value
1704246726.928908,1,36.24480438232422
1704247340.986651,352,65.88184356689453
1704247903.326856,664,65.9931640625
1704248522.539855,967,70.88908386230469
1704249071.834593,1294,70.69554138183594
1704249666.898267,1600,69.25359344482422
1704250251.127403,1930,61.61723709106445
1704250813.173402,2245,69.87337493896484
1704251379.102931,2559,53.16305923461914
1704251942.367874,2877,64.05448913574219
1704252517.538952,3194,62.23349380493164
1704253083.181865,3519,67.72077178955078
1704253682.226596,3831,60.659507751464844
1704254244.76351,4149,68.79386138916016
1704254786.259332,4461,65.71907043457031
1704255339.844198,4767,64.84883880615234
1704255840.478323,5079,80.24231719970703
1704256361.059668,5363,83.5295639038086
1704256873.655109,5653,82.27208709716797
1704257392.991215,5942,73.61367797851562
1704258018.144504,6224,66.3215560913086
1704258636.820232,6548,77.57585906982422
1704259435.114488,6858,73.80156707763672
1704260003.529972,7204,76.25480651855469
1704260513.886111,7491,72.34903717041016
1704261082.779943,7779,71.24768829345703
1704261587.175477,8102,86.81251525878906
1704262113.622284,8390,78.9925537109375
1704262645.746049,8691,66.67280578613281
1704263199.002563,8995,75.19918060302734
1704263758.683802,9308,65.22193908691406
1704264292.157207,9623,80.38089752197266
1704264893.75705,9925,66.36808013916016
1704265580.241985,10232,75.34677124023438
1704266273.626681,10558,71.67942810058594
1704266858.996491,10891,73.59619140625
1704267392.82079,11195,82.52306365966797
1704267983.011605,11487,66.39615631103516
1704268564.291108,11793,68.8725357055664
1704269091.380256,12109,77.5378189086914
1704269609.710875,12401,78.63383483886719
1704270180.92637,12693,61.28312301635742
1704270821.258721,13000,66.60542297363281
1704271402.608126,13313,71.9228286743164
1704271935.742462,13625,83.85714721679688
1704272429.354767,13911,85.2541275024414
1704272954.32086,14189,80.78356170654297
1704273472.640108,14486,79.26799774169922
1704273949.493611,14780,88.4690170288086
1704274437.079165,15051,83.49993133544922
1704274942.170284,15329,83.96770477294922
1704275442.920293,15617,86.65484619140625
1704275974.930402,15904,76.58529663085938
1704276570.761171,16202,84.76665496826172
1704277136.946336,16496,81.57931518554688
1704277691.175818,16794,78.89531707763672
1704278204.325584,17100,76.78467559814453
1704278751.423574,17386,68.007568359375
1704279314.128717,17688,69.62277221679688
1704279908.268038,18001,72.70361328125
1704280460.334446,18321,74.07720947265625
1704280963.364299,18621,78.30435180664062
1704281501.699028,18904,74.34452056884766
1704282085.867739,19203,78.71930694580078
1704282714.750214,19513,66.1841049194336
1704283278.179995,19846,67.52721405029297
1704283820.652988,20160,78.68651580810547
1704284315.51739,20467,77.97152709960938
1704284842.873427,20749,77.58521270751953
1704285350.594106,21051,82.03504943847656
1704285920.732182,21340,74.13195037841797
1704286458.849256,21665,70.9522705078125
1704286968.413138,21972,85.18024444580078
1704287552.73688,22262,82.35689544677734
1704288139.412214,22575,77.061279296875
1704288706.232888,22864,71.18203735351562
1704289264.021153,23172,73.14221954345703
1704289801.538955,23480,87.81290435791016
1704290349.754357,23777,76.21637725830078
1704290888.979179,24081,79.3503189086914
1704291395.164924,24380,83.27579498291016
1704291950.716734,24661,73.7367172241211
1704292494.283624,24968,71.71897888183594
1704292988.857011,25270,82.77032470703125
1704293534.930601,25544,74.43011474609375
1704294105.56841,25846,72.47624969482422
1704294648.068957,26164,73.64924621582031
1704295156.171996,26464,75.16484069824219
1704295676.115804,26745,70.16873931884766
1704296207.946774,27033,74.82168579101562
1704296747.989099,27329,88.4637680053711
1704297276.122357,27628,85.02938842773438
1704297792.683138,27920,75.50666046142578
1704298321.496415,28208,72.92166900634766
1704298885.525015,28501,72.55699920654297
1704299429.202103,28814,68.52061462402344
1704299944.194638,29117,84.67981719970703
1704300506.596996,29403,72.94610595703125
1704301056.904935,29714,71.18810272216797
1704301606.743313,30021,86.3588638305664
